iter	Accuracy	Logloss
0	0.8096261281	0.6595233555
1	0.8177911474	0.6299659813
2	0.8212290503	0.6042916698
3	0.8031800602	0.5845109261
4	0.806617963	0.5662996595
5	0.806617963	0.5502957975
6	0.8130640309	0.5369358972
7	0.8104856038	0.5241104699
8	0.8087666523	0.5139874834
9	0.8096261281	0.5041527993
10	0.8053287495	0.4963474021
11	0.8048990116	0.4880761067
12	0.803609798	0.4833227549
13	0.8053287495	0.4761531142
14	0.8100558659	0.4694676918
15	0.8100558659	0.4650824371
16	0.8104856038	0.4599924967
17	0.8173614095	0.4564268669
18	0.8126342931	0.453744046
19	0.8165019338	0.4497106942
20	0.8182208853	0.44642264
21	0.8147829824	0.4448889503
22	0.8177911474	0.4420987426
23	0.8233777396	0.439518414
24	0.8186506231	0.4379338907
25	0.8242372153	0.4348363233
26	0.8238074774	0.4323151488
27	0.8246669532	0.4302351454
28	0.8242372153	0.4282262019
29	0.825096691	0.4268256347
30	0.8272453803	0.4241054238
31	0.8268156425	0.4234332179
32	0.828104856	0.4224833486
33	0.828104856	0.4210367896
34	0.8272453803	0.4191789214
35	0.8285345939	0.4171044828
36	0.828104856	0.4160966063
37	0.828104856	0.4143839772
38	0.8285345939	0.4133902239
39	0.8298238075	0.4122415306
40	0.8315427589	0.4107333965
41	0.8311130211	0.4097327067
42	0.8319724968	0.4090055438
43	0.8319724968	0.4077152026
44	0.8324022346	0.4066291005
45	0.8328319725	0.4054798732
46	0.8336914482	0.4042203616
47	0.8341211861	0.4035016045
48	0.8341211861	0.4034338185
49	0.8332617104	0.4026019348
50	0.8328319725	0.4018833453
51	0.8332617104	0.4018352998
52	0.8336914482	0.4013099267
53	0.8332617104	0.3997781256
54	0.8332617104	0.3996002498
55	0.8341211861	0.398922416
56	0.8349806618	0.397700982
57	0.8341211861	0.3971240248
58	0.8341211861	0.3962318006
59	0.8358401375	0.3953831088
60	0.8354103997	0.3947186138
61	0.8354103997	0.3944320009
62	0.8349806618	0.3937650243
63	0.8371293511	0.3924747336
64	0.8371293511	0.3920041082
65	0.8379888268	0.3911782549
66	0.8379888268	0.3903206605
67	0.8379888268	0.3891733556
68	0.8379888268	0.3883899438
69	0.8384185647	0.3874933024
70	0.8388483025	0.3861932417
71	0.8397077783	0.385242508
72	0.8401375161	0.3844640225
73	0.8418564676	0.3837449241
74	0.8414267297	0.3828748436
75	0.840567254	0.3823205986
76	0.8414267297	0.3817277187
77	0.8409969918	0.381658028
78	0.8414267297	0.3809264709
79	0.8427159433	0.380327099
80	0.8422862054	0.3796479371
81	0.8431456811	0.3788188047
82	0.8427159433	0.3780981411
83	0.8422862054	0.3773818434
84	0.8431456811	0.3768287862
85	0.8440051569	0.376222474
86	0.8440051569	0.3757629276
87	0.843575419	0.3751815629
88	0.8440051569	0.3746996746
89	0.8440051569	0.374038297
90	0.8440051569	0.3731612156
91	0.8440051569	0.3726805423
92	0.8444348947	0.3719066828
93	0.8444348947	0.3711321044
94	0.8452943704	0.3705011093
95	0.8444348947	0.3700948254
96	0.8444348947	0.3696992542
97	0.8457241083	0.3692652991
98	0.8461538462	0.3683974693
99	0.8461538462	0.3678499277
