iter	Passed	Remaining
0	9	985
1	14	728
2	18	596
3	20	484
4	25	475
5	27	429
6	32	427
7	37	430
8	39	399
9	44	402
10	47	382
11	56	413
12	58	392
13	65	401
14	76	433
15	86	453
16	91	448
17	101	463
18	108	461
19	117	468
20	124	466
21	127	451
22	135	453
23	142	452
24	146	440
25	153	436
26	165	446
27	171	441
28	179	440
29	188	439
30	198	441
31	201	427
32	204	414
33	211	410
34	219	407
35	227	403
36	239	407
37	244	399
38	254	398
39	261	391
40	269	387
41	277	382
42	285	378
43	290	370
44	299	365
45	306	360
46	314	354
47	318	344
48	320	333
49	328	328
50	333	320
51	336	310
52	339	300
53	346	294
54	348	285
55	352	276
56	360	271
57	364	263
58	369	256
59	376	250
60	380	243
61	384	235
62	391	229
63	397	223
64	405	218
65	409	210
66	412	203
67	416	195
68	421	189
69	424	182
70	428	174
71	432	168
72	435	161
73	439	154
74	443	147
75	446	141
76	450	134
77	452	127
78	455	121
79	459	114
80	462	108
81	466	102
82	469	96
83	473	90
84	477	84
85	480	78
86	484	72
87	487	66
88	491	60
89	495	55
90	498	49
91	502	43
92	506	38
93	509	32
94	513	27
95	516	21
96	520	16
97	524	10
98	527	5
99	531	0
